loja,bairro,whatsapp,nota,avaliacoes,mensagem
"Eunice Reis Boutique","Carlota","+55 43 999688-487","5","93","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Carlota e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"WS Store Londrina","Jardim Igapó","+55 43 984176-653","5","90","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Jardim Igapó e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"V JHONI TENDENCE","Jardim Maria Luiza","+55 43 984579-015","5","79","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Jardim Maria Luiza e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Cheias de Charme Presentes","Jardim Elizabeth","+55 43 984921-358","4.9","77","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Jardim Elizabeth e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"CAMY STORE","Brasília","+55 43 988425-130","4.9","67","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Brasília e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"DNA Moda Festa","Centro","+55 43 999841-676","4.9","63","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Centro e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Grifes Outlet Madre","Palhano 2","+55 43 996161-828","4.6","55","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Palhano 2 e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Look Victory Shopping","Jardim Leonor","+55 43 998217-159","4.7","51","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Jardim Leonor e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Valéria de Oliveira Cosméticos","Waldemar Hauer","+55 43 984010-693","5","49","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Waldemar Hauer e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Lingeries da Lê","Vivi Xavier","+55 43 984433-039","5","48","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Vivi Xavier e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Stop Country Londrina","Centro","+55 43 991620-625","4.8","44","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Centro e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Buty Calçados e Confecções","Bandeirantes","+55 43 999200-148","4.9","43","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Bandeirantes e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Rilek Store Zona Norte","Vivi Xavier","+55 43 988252-115","5","43","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Vivi Xavier e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Outlet.Go","Londrina","+55 43 988157-771","4.9","36","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Londrina e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"La Fiore Pijamas","Portal de Versalhes II","+55 43 998570-720","5","34","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Portal de Versalhes II e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Bella Fitness","Vivi Xavier","+55 43 999977-001","4.8","34","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Vivi Xavier e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Anne Roupas e Acessórios","Bandeirantes","+55 43 991291-112","4.9","32","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Bandeirantes e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Impacto Store Londrina","Centro","+55 43 988674-879","5","31","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Centro e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"By Sisters","Vivi Xavier","+55 43 996490-282","5","29","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Vivi Xavier e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Daluvi Store","Centro","+55 43 988025-241","5","29","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Centro e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Loliz Boutique","Higienópolis","+55 43 998157-300","4.9","26","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Higienópolis e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Gioiello Bebê Enxovais","Jardim Adriana I","+55 43 991700-006","5","26","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Jardim Adriana I e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Joy Store","Operária","+55 43 996445-534","5","24","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Operária e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Zaion Moda Fitness","Centro","+55 43 988113-422","5","23","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Centro e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"ESPACO UAU","JD Aeroporto","+55 43 984272-299","5","21","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em JD Aeroporto e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Le Brune Lingerie","Centro","+55 43 991379-498","5","21","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Centro e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Divina Donna","Centro","+55 43 991217-079","4.9","19","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Centro e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Intima Dreams","Lago Igapó","+55 43 991777-672","4.5","16","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Lago Igapó e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"BELLA MOÇA","Conjunto Cafezal 4","+55 43 991039-371","5","6","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Conjunto Cafezal 4 e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Bloom Moda Íntima","Conjunto Cafezal 1","+55 43 991970-990","5","5","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Conjunto Cafezal 1 e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Acension Style","Jardim Nova Londres","+55 43 991676-933","5","4","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Jardim Nova Londres e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"CARLOTA LONDRINA","Guanabara","+55 43 991220-506","5","2","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Guanabara e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Mzk Boutique e Acessórios","Jardim Vilas Boas","+55 43 991352-021","5","1","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Jardim Vilas Boas e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
"Timeless Moda Feminina","Novo Antares","+55 43 984938-218","5","1","Oi, tudo bem? Tava pesquisando lojas de roupa aqui em Novo Antares e acabei caindo no perfil de vocês. Reparei numa coisa que provavelmente tá fazendo vocês perderem venda toda semana. Te mando o que achei?"
